,unique_ID,experiment,position,track,cell_id,parent,max_slope,appearance_time,time_of_max_slope,start_inc,start_idx_var_value,y_pos_start_inc,y_pos_appearance,gfp_on,end_inc,end_idx_var_value,born_on,lifetime,slope_th,max_gfp,max_gfp_time,min_post_max,min_time_post_max,switch_like,becomes_positive,duration,magnitude_inc,category,long_enough_time,parent_start_inc
36,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,22,8,,805,,,,,110.28169,,,,True,56,0.04,9.60368824005127,1080.0,9.60368824005127,1080.0,False,False,,,,False,
37,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,23,11,,820,,,,,139.30667,,,,True,53,0.04,9.865248680114746,1080.0,9.865248680114746,1080.0,False,False,,,,False,
38,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,24,16,,870,,,,,323.0849,,,,True,14,0.04,9.42859172821045,935.0,9.42859172821045,935.0,False,False,,,,False,
39,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,25,2,,870,,,,,283.21698,,,,True,23,0.04,9.494691848754883,980.0,9.494691848754883,980.0,False,False,,,,False,235
40,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,26,14,,900,,,,,224.11111,,,,True,37,0.04,9.405166625976562,1075.0,9.39737319946289,1080.0,False,False,,,,False,
41,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,27,16,,940,,,,,388.66217,,,,True,4,0.04,9.442800521850586,940.0,9.401703834533691,955.0,False,False,,,,False,
42,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,28,22,,985,,,,,178.44118,,,,True,20,0.04,9.44293212890625,1080.0,9.44293212890625,1080.0,False,False,,,,False,
43,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,29,2,,985,,,,,377.23,,,,True,5,0.04,9.364176750183105,1005.0,9.364176750183105,1005.0,False,False,,,,False,235
44,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,30,1,,1030,,,,,57.53448,,,,True,11,0.04,9.77115535736084,1080.0,9.77115535736084,1080.0,False,False,,,,False,310
45,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,31,20,,1040,,,,,96.57843,,,,True,9,0.04,9.768783569335938,1045.0,9.598976135253906,1080.0,False,False,,,,False,
46,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,32,12,,1045,,,,,130.575,,,,True,8,0.04,9.709033012390137,1065.0,9.700432777404785,1080.0,False,False,,,,False,
47,20240809__XY10_crop13__Track_4,20240809,XY10_crop13,Track_4,33,11,,1080,,,,,258.28986,,,,True,1,0.04,9.808736801147461,1080.0,9.808736801147461,1080.0,False,False,,,,False,
48,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,1,0,0.23881196975708008,0,200,195,6.4567695,30.774437,24.990196,220,285.0,8.21293,False,217,0.04,9.461280822753906,885.0,9.142560958862305,1080.0,True,True,90.0,1.7561603,switch,True,
49,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,2,1,0.16787338256835938,200,220,205,7.0483866,37.396553,37.112904,220,290.0,8.302018,False,177,0.04,9.24151611328125,1070.0,9.20974063873291,1080.0,True,True,85.0,1.2536316,switch,True,195
50,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,3,2,,635,,,,,71.95294,,,,True,90,0.04,9.548430442810059,1070.0,9.532689094543457,1080.0,False,False,,,,True,205
51,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,4,1,,640,,,,,42.907692,,,,True,89,0.04,9.492104530334473,885.0,9.268012046813965,1005.0,False,False,,,,True,195
52,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,5,2,,895,,,,,108.25,,,,True,38,0.04,9.462990760803223,1075.0,9.45785140991211,1080.0,False,False,,,,False,205
