,unique_ID,experiment,channel_width,last_valid_cell_time,first_valid_cell_time,position,track,cell_id,parent,cycle,start_time,start_length,end_time,end_length,cycle_duration,total_growth,avg_elong_rate
54,20240809__XY10_crop13__Track_4,20240809,1.3,1080,365,XY10_crop13,Track_4,8,1,1,585,1.6899999380111694,800,3.5696778297424316,215,1.8796778917312622,0.008742687868517498
55,20240809__XY10_crop13__Track_4,20240809,1.3,1080,365,XY10_crop13,Track_4,8,1,2,805,1.8928284645080566,1080,4.338963031768799,275,2.446134567260742,0.008895034790039063
56,20240809__XY10_crop13__Track_4,20240809,1.3,870,515,XY10_crop13,Track_4,9,5,0,515,1.7344162464141846,690,3.0348806381225586,175,1.300464391708374,0.007431225095476423
57,20240809__XY10_crop13__Track_4,20240809,1.3,870,515,XY10_crop13,Track_4,9,5,1,695,1.5216108560562134,870,2.757716417312622,175,1.2361055612564087,0.007063460350036621
58,20240809__XY10_crop13__Track_4,20240809,1.3,795,560,XY10_crop13,Track_4,10,6,0,560,2.144014835357666,715,3.9194514751434326,155,1.7754366397857666,0.01145442993410172
59,20240809__XY10_crop13__Track_4,20240809,1.3,795,560,XY10_crop13,Track_4,10,6,1,720,1.9672569036483765,795,1.8613166809082031,75,-0.10594022274017334,-0.0014125363032023112
60,20240809__XY10_crop13__Track_4,20240809,1.3,1080,585,XY10_crop13,Track_4,11,8,0,585,2.0181427001953125,815,3.5696778297424316,230,1.5515351295471191,0.006745804911074431
61,20240809__XY10_crop13__Track_4,20240809,1.3,1080,585,XY10_crop13,Track_4,11,8,1,820,1.7681910991668701,1075,3.7226333618164062,255,1.9544422626495361,0.00766447946137073
62,20240809__XY10_crop13__Track_4,20240809,1.3,1080,585,XY10_crop13,Track_4,11,8,2,1080,2.0181427001953125,1080,2.0181427001953125,0,0.0,
63,20240809__XY10_crop13__Track_4,20240809,1.3,1080,655,XY10_crop13,Track_4,12,1,0,655,2.2703521251678467,760,3.130814552307129,105,0.8604624271392822,0.008194880258469355
64,20240809__XY10_crop13__Track_4,20240809,1.3,1080,655,XY10_crop13,Track_4,12,1,1,765,1.6899999380111694,1040,4.0383782386779785,275,2.348378300666809,0.008539557456970215
65,20240809__XY10_crop13__Track_4,20240809,1.3,1080,655,XY10_crop13,Track_4,12,1,2,1045,2.116246461868286,1080,2.303605794906616,35,0.18735933303833008,0.0053531238010951455
66,20240809__XY10_crop13__Track_4,20240809,1.3,820,665,XY10_crop13,Track_4,13,3,0,665,1.5216108560562134,820,2.757716417312622,155,1.2361055612564087,0.007974874588751023
67,20240809__XY10_crop13__Track_4,20240809,1.3,1080,685,XY10_crop13,Track_4,14,4,0,685,1.8928284645080566,895,3.468832492828369,210,1.5760040283203125,0.007504781087239583
68,20240809__XY10_crop13__Track_4,20240809,1.3,1080,685,XY10_crop13,Track_4,14,4,1,900,1.7344162464141846,1080,3.441932439804077,180,1.7075161933898926,0.009486201074388292
69,20240809__XY10_crop13__Track_4,20240809,1.3,860,695,XY10_crop13,Track_4,15,9,0,695,1.7344162464141846,860,2.5241434574127197,165,0.7897272109985352,0.004786225521203244
