,unique_ID,experiment,position,track,cell_id,min_slope_ruby,time_of_min_slope_ruby,lifetime,mean_ruby_lifetime,max_ruby,max_ruby_time
157,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,12,-0.02224254608154297,145,52,8.7998295,8.913566589355469,1030.0
158,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,13,-0.0291290283203125,75,52,8.819548,8.96048355102539,1080.0
159,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,14,-0.0406341552734375,35,42,8.881918,8.949078559875488,1080.0
160,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,15,-0.02476024627685547,100,24,8.898129,8.995304107666016,1050.0
161,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,16,-0.030089378356933594,25,23,8.973379,9.079485893249512,1080.0
162,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,17,-0.019957542419433594,5,22,8.897665,8.941561698913574,1050.0
163,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,18,-0.030838966369628906,15,18,9.010319,9.040475845336914,995.0
164,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,19,-0.015200614929199219,75,16,8.958664,8.995139122009277,1005.0
165,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,20,-0.008749008178710938,20,8,8.974516,9.020243644714355,1060.0
166,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,21,-0.029083251953125,25,9,8.9047365,8.926268577575684,1050.0
167,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,22,,,1,8.73001,8.730010032653809,1080.0
168,20240809__XY09_crop4__Track_17,20240809,XY09_crop4,Track_17,23,,,1,9.0457945,9.045794486999512,1080.0
169,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,1,-0.09865951538085938,225,217,8.659125,9.159867286682129,190.0
170,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,2,-0.0420074462890625,10,173,8.990916,9.247615814208984,225.0
171,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,3,-0.035175323486328125,495,136,9.050883,9.153818130493164,720.0
172,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,4,-0.027582168579101562,205,133,8.852795,9.111233711242676,1080.0
173,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,5,-0.029764175415039062,235,91,8.688997,8.76833438873291,1035.0
174,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,6,-0.036464691162109375,240,85,8.949425,9.060829162597656,665.0
175,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,7,-0.02594757080078125,350,82,8.82927,9.029592514038086,1080.0
176,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,8,-0.056949615478515625,20,75,8.945257,9.082255363464355,710.0
